category,method,path,controller,action,legacy_file,status,note
1-AUTH,GET,/transactionsPaymet,Auth,transactionsPaymet,backend.js,NOT-NEEDED,Legacy HTML page — erstattet av /api/auth/* + React
1-AUTH,GET,/admin,Auth,login,backend.js,NOT-NEEDED,HTML render (legacy admin UI) — erstattet av React-admin
1-AUTH,POST,/admin,Auth,postLogin,backend.js,EXISTS,/api/auth/login + /api/admin/auth/login
1-AUTH,GET,/forgot-password,Auth,forgotPassword,backend.js,NOT-NEEDED,HTML render (legacy admin UI) — erstattet av React-admin
1-AUTH,POST,/forgot-password,Auth,forgotPasswordSendMail,backend.js,EXISTS,/api/auth/forgot-password
1-AUTH,GET,/reset-password/:token,Auth,resetPassword,backend.js,NOT-NEEDED,HTML render (legacy admin UI) — erstattet av React-admin
1-AUTH,POST,/reset-password/:token,Auth,postResetPassword,backend.js,EXISTS,/api/auth/forgot-password
1-AUTH,GET,/logout,Auth,logout,backend.js,NOT-NEEDED,HTML render (legacy admin UI) — erstattet av React-admin
1-AUTH,GET,/register,Auth,register,backend.js,NOT-NEEDED,HTML render (legacy admin UI) — erstattet av React-admin
1-AUTH,GET,/profile,Auth,profile,backend.js,NOT-NEEDED,HTML render (legacy admin UI) — erstattet av React-admin
1-AUTH,POST,/profile/update,Auth,profileUpdate,backend.js,EXISTS,PUT /api/auth/me
1-AUTH,POST,/profile/changePwd,Auth,changePassword,backend.js,EXISTS,/api/auth/change-password
1-AUTH,POST,/profile/changeAvatar,Auth,changeAvatar,backend.js,NOT-NEEDED,Avatar-upload ikke i scope for pilot
1-AUTH,POST,/profile/changeSmsUsrPwd,Auth,changeSmsUsrPwd,backend.js,NOT-NEEDED,SMS ikke pilot-kritisk (PM 2026-04-18) — ingen SMS-provider
1-AUTH,POST,/profile/updateLanguage,Auth,updateLanguage,backend.js,NOT-NEEDED,Lokalisering ikke i scope for pilot
1-AUTH,GET,/agent/profile,Auth,agentProfile,backend.js,NOT-NEEDED,Legacy HTML page — erstattet av /api/auth/* + React
1-AUTH,POST,/profile/agent/update,Auth,agentProfileUpdate,backend.js,EXISTS,PUT /api/auth/me
1-AUTH,POST,/profile/agent/changePwd,Auth,agentChangePassword,backend.js,EXISTS,/api/auth/change-password
1-AUTH,POST,/profile/agent/changeAvatar,Auth,agentChangeAvatar,backend.js,NOT-NEEDED,Avatar-upload ikke i scope for pilot
1-AUTH,POST,/profile/agent/updateLanguage,Auth,agentUpdateLanguage,backend.js,NOT-NEEDED,Lokalisering ikke i scope for pilot
6-ADMIN-OPS,GET,/dashboard,Dashboard,home,backend.js,NOT-NEEDED,HTML index-side — erstattet av React-admin
6-ADMIN-OPS,GET,/dashboardChart/getMonthlyPlayedGameChart,Dashboard,getMonthlyPlayedGameChart,backend.js,EXISTS,B3-report /api/admin/dashboard/* (PR #190)
6-ADMIN-OPS,GET,/dashboardChart/getGameUsageChart,Dashboard,getGameUsageChart,backend.js,EXISTS,B3-report /api/admin/dashboard/* (PR #190)
6-ADMIN-OPS,GET,/dashboard/gameHistory,Dashboard,gameHistory,backend.js,EXISTS,B3-report /api/admin/dashboard/* (PR #190)
6-ADMIN-OPS,GET,/dashboard/getTopPlayers/:id,Dashboard,getTopPlayers,backend.js,EXISTS,B3-report /api/admin/dashboard/* (PR #190)
6-ADMIN-OPS,GET,/dashboard/ongoingGames/:gameType,Dashboard,ongoingGames,backend.js,EXISTS,B3-report /api/admin/dashboard/* (PR #190)
7-AGENT,GET,/agent,AgentController,agent,backend.js,AGENT-DOMENE,BIN-583 (agent-domene)
7-AGENT,GET,/agent/getAgent,AgentController,getAgent,backend.js,AGENT-DOMENE,BIN-583 (agent-domene)
7-AGENT,GET,/addAgent,AgentController,addAgent,backend.js,AGENT-DOMENE,BIN-583 (agent-domene)
7-AGENT,POST,/addAgent,AgentController,addAgentPostData,backend.js,AGENT-DOMENE,BIN-583 (agent-domene)
7-AGENT,POST,/agent/getAgentDelete,AgentController,getAgentDelete,backend.js,AGENT-DOMENE,BIN-583 (agent-domene)
7-AGENT,GET,/agentEdit/:id/,AgentController,editAgent,backend.js,AGENT-DOMENE,BIN-583 (agent-domene)
7-AGENT,POST,/agentEdit/:id,AgentController,editAgentPostData,backend.js,AGENT-DOMENE,BIN-583 (agent-domene)
1-AUTH,GET,/adminUser,AdminController,admin,backend.js,NOT-NEEDED,HTML render (legacy admin UI) — erstattet av React-admin
1-AUTH,GET,/admin/getAdmin,AdminController,getAdmin,backend.js,NOT-NEEDED,Legacy admin HTML user-side — erstattet av React-admin
1-AUTH,GET,/addAdmin,AdminController,addAdmin,backend.js,NOT-NEEDED,HTML render (legacy admin UI) — erstattet av React-admin
1-AUTH,POST,/addAdmin,AdminController,addAdminPostData,backend.js,EXISTS,B6 /api/admin/users CRUD (PR #203)
1-AUTH,POST,/admin/getAdminDelete,AdminController,getAdminDelete,backend.js,EXISTS,B6 /api/admin/users CRUD (PR #203)
1-AUTH,GET,/adminEdit/:id/,AdminController,editAdmin,backend.js,NOT-NEEDED,HTML render (legacy admin UI) — erstattet av React-admin
1-AUTH,POST,/adminEdit/:id,AdminController,editAdminPostData,backend.js,EXISTS,B6 /api/admin/users CRUD (PR #203)
1-AUTH,GET,/editRole/:id,AdminController,editRole,backend.js,NOT-NEEDED,HTML render (legacy admin UI) — erstattet av React-admin
1-AUTH,POST,/adminRoleUpdate/:id,AdminController,updateRole,backend.js,EXISTS,B6 /api/admin/users CRUD (PR #203)
5-WALLET,GET,/agent/cashinout,CashInOutController,cashInOutPage,backend.js,NOT-NEEDED,HTML render (legacy admin UI) — erstattet av React-admin
7-AGENT,GET,/sold-tickets,CashInOutController,soldTickets,backend.js,AGENT-DOMENE,BIN-583 — cashinout er hall-operator-arbeidsflyt
7-AGENT,GET,/sold-tickets/get,CashInOutController,getSoldTickets,backend.js,AGENT-DOMENE,BIN-583 — sold-tickets / cashinout er hall-operator-arbeidsflyt
2-PLAYER,GET,/loyalty,LoyaltyController,loyalty,backend.js,NOT-NEEDED,"Loyalty droppet i legacy (""not using points money"", Boot/Server.js:585). PM bekreftet ikke i scope."
2-PLAYER,GET,/loyalty/getLoyalty,LoyaltyController,getLoyalty,backend.js,NOT-NEEDED,"Loyalty droppet i legacy (""not using points money"", Boot/Server.js:585). PM bekreftet ikke i scope."
2-PLAYER,GET,/addLoyalty,LoyaltyController,addLoyalty,backend.js,NOT-NEEDED,"Loyalty droppet i legacy (""not using points money"", Boot/Server.js:585). PM bekreftet ikke i scope."
2-PLAYER,POST,/addLoyalty,LoyaltyController,addLoyaltyPostData,backend.js,NOT-NEEDED,"Loyalty droppet i legacy (""not using points money"", Boot/Server.js:585). PM bekreftet ikke i scope."
2-PLAYER,POST,/loyalty/getLoyaltyDelete,LoyaltyController,loyaltyDelete,backend.js,NOT-NEEDED,"Loyalty droppet i legacy (""not using points money"", Boot/Server.js:585). PM bekreftet ikke i scope."
2-PLAYER,GET,/loyaltyEdit/:id/,LoyaltyController,editLoyalty,backend.js,NOT-NEEDED,"Loyalty droppet i legacy (""not using points money"", Boot/Server.js:585). PM bekreftet ikke i scope."
2-PLAYER,POST,/loyaltyEdit/:id,LoyaltyController,editLoyaltyPostData,backend.js,NOT-NEEDED,"Loyalty droppet i legacy (""not using points money"", Boot/Server.js:585). PM bekreftet ikke i scope."
2-PLAYER,GET,/loyaltyManagement,LoyaltyController,loyaltyManagement,backend.js,NOT-NEEDED,"Loyalty droppet i legacy (""not using points money"", Boot/Server.js:585). PM bekreftet ikke i scope."
2-PLAYER,GET,/loyalty/getPlayerLoyalty,LoyaltyController,getPlayerLoyalty,backend.js,NOT-NEEDED,"Loyalty droppet i legacy (""not using points money"", Boot/Server.js:585). PM bekreftet ikke i scope."
2-PLAYER,GET,/viewLoyaltyPlayer/:id,LoyaltyController,viewLoyaltyPlayer,backend.js,NOT-NEEDED,"Loyalty droppet i legacy (""not using points money"", Boot/Server.js:585). PM bekreftet ikke i scope."
3-GAMEPLAY,POST,/getPatternMenu,patternController,viewPatternMenu,backend.js,NOT-NEEDED,Patterns er TypeScript-definert i engine (PM 2026-04-19) — legacy HTML admin-UI erstattet
3-GAMEPLAY,GET,/patternGameDetailList/:id,patternController,viewGamePatternList,backend.js,NOT-NEEDED,HTML render (legacy admin UI) — erstattet av React-admin
3-GAMEPLAY,GET,/getPatternDetailList,patternController,getPatternDetailList,backend.js,NOT-NEEDED,Patterns er TypeScript-definert i engine (PM 2026-04-19) — legacy HTML admin-UI erstattet
3-GAMEPLAY,GET,/addPattern/:id,patternController,addPattern,backend.js,NOT-NEEDED,HTML render (legacy admin UI) — erstattet av React-admin
3-GAMEPLAY,POST,/addPattern/:typeId/:type/:slug,patternController,addPatternPostData,backend.js,NOT-NEEDED,Patterns er TypeScript-definert i engine (PM 2026-04-19) — legacy HTML admin-UI erstattet
3-GAMEPLAY,GET,/patternEdit/:typeId/:id,patternController,editPattern,backend.js,NOT-NEEDED,HTML render (legacy admin UI) — erstattet av React-admin
3-GAMEPLAY,POST,/patternEdit/:typeId/:id,patternController,editPatternPostData,backend.js,NOT-NEEDED,Patterns er TypeScript-definert i engine (PM 2026-04-19) — legacy HTML admin-UI erstattet
3-GAMEPLAY,POST,/getPatternDelete,patternController,getPatternDelete,backend.js,NOT-NEEDED,Patterns er TypeScript-definert i engine (PM 2026-04-19) — legacy HTML admin-UI erstattet
3-GAMEPLAY,GET,/viewPattern/:typeId/:id,patternController,viewPatternDetails,backend.js,NOT-NEEDED,HTML render (legacy admin UI) — erstattet av React-admin
3-GAMEPLAY,POST,/checkForPatternName,patternController,checkForPatternName,backend.js,NOT-NEEDED,Patterns er TypeScript-definert i engine (PM 2026-04-19) — legacy HTML admin-UI erstattet
3-GAMEPLAY,GET,/gameType,GameController,gameType,backend.js,NOT-NEEDED,Legacy admin-UI-side — erstattet av /api/admin/games + settings-catalog
3-GAMEPLAY,GET,/gameType/getGameType,GameController,getGameType,backend.js,NOT-NEEDED,Legacy admin-game-management UI — erstattet av /api/admin/games + settings-catalog
3-GAMEPLAY,GET,/addGameType,GameController,addGameType,backend.js,NOT-NEEDED,HTML render (legacy admin UI) — erstattet av React-admin
3-GAMEPLAY,POST,/addGameType,GameController,addGameTypePostData,backend.js,NOT-NEEDED,Legacy admin-game-CRUD — erstattet av /api/admin/games + settings-catalog
3-GAMEPLAY,GET,/editGameType/:id,GameController,editGameType,backend.js,NOT-NEEDED,HTML render (legacy admin UI) — erstattet av React-admin
3-GAMEPLAY,POST,/editGameType/:id,GameController,editGameTypePostData,backend.js,NOT-NEEDED,Legacy admin-game-CRUD — erstattet av /api/admin/games + settings-catalog
3-GAMEPLAY,POST,/gameType/deleteGameType,GameController,deleteGameType,backend.js,NOT-NEEDED,Legacy admin-game-delete — erstattet av settings-catalog
3-GAMEPLAY,GET,/viewGameType/:id,GameController,viewGameType,backend.js,NOT-NEEDED,HTML render (legacy admin UI) — erstattet av React-admin
3-GAMEPLAY,GET,/subGame,subGameController,subGame1,backend.js,NOT-NEEDED,HTML index-side — erstattet av React-admin
3-GAMEPLAY,GET,/subGames/getSubGameList,subGameController,subGame1List,backend.js,NOT-NEEDED,Subgames TS-definert i engine (PM 2026-04-19) — legacy HTML admin-UI erstattet
3-GAMEPLAY,GET,/addSubGame,subGameController,addSubGame,backend.js,NOT-NEEDED,HTML render (legacy admin UI) — erstattet av React-admin
3-GAMEPLAY,POST,/addSubGameData,subGameController,addSubGamePostData,backend.js,NOT-NEEDED,Subgames TS-definert i engine (PM 2026-04-19) — legacy HTML admin-UI erstattet
3-GAMEPLAY,GET,/subGameEdit/:id,subGameController,editSubGame,backend.js,NOT-NEEDED,HTML render (legacy admin UI) — erstattet av React-admin
3-GAMEPLAY,POST,/subGameEdit/:id,subGameController,editSubGamePostData,backend.js,NOT-NEEDED,Subgames TS-definert i engine (PM 2026-04-19) — legacy HTML admin-UI erstattet
3-GAMEPLAY,POST,/subGames/getSubGameDelete,subGameController,getSubGameDelete,backend.js,NOT-NEEDED,Subgames TS-definert i engine (PM 2026-04-19) — legacy HTML admin-UI erstattet
3-GAMEPLAY,GET,/viewSubGame/:id,subGameController,viewSubGame,backend.js,NOT-NEEDED,HTML render (legacy admin UI) — erstattet av React-admin
3-GAMEPLAY,POST,/checkForGameName,subGameController,checkForGameName,backend.js,NOT-NEEDED,Subgames TS-definert i engine (PM 2026-04-19) — legacy HTML admin-UI erstattet
3-GAMEPLAY,GET,/background,OtherController,background,backend.js,NOT-NEEDED,Background/theme content — post-pilot
3-GAMEPLAY,GET,/otherModules/getBackground,OtherController,getBackground,backend.js,NOT-NEEDED,Background/theme content — post-pilot
3-GAMEPLAY,GET,/addBackground,OtherController,addBackground,backend.js,NOT-NEEDED,HTML render (legacy admin UI) — erstattet av React-admin
3-GAMEPLAY,POST,/addBackground,OtherController,addBackgroundPostData,backend.js,NOT-NEEDED,Background/theme content-mgmt — post-pilot
3-GAMEPLAY,GET,/editBackground/:id,OtherController,editBackground,backend.js,NOT-NEEDED,HTML render (legacy admin UI) — erstattet av React-admin
3-GAMEPLAY,POST,/editBackground/:id,OtherController,editBackgroundPostData,backend.js,NOT-NEEDED,Background/theme content-mgmt — post-pilot
3-GAMEPLAY,POST,/background/deleteBackground,OtherController,deleteBackground,backend.js,NOT-NEEDED,Background/theme content-mgmt — post-pilot
3-GAMEPLAY,GET,/viewBackground/:id,OtherController,viewBackground,backend.js,NOT-NEEDED,HTML render (legacy admin UI) — erstattet av React-admin
3-GAMEPLAY,GET,/theme,OtherController,theme,backend.js,NOT-NEEDED,Background/theme content — post-pilot
3-GAMEPLAY,POST,/themeEdit,OtherController,themeEdit,backend.js,NOT-NEEDED,Background/theme content-mgmt — post-pilot
3-GAMEPLAY,GET,/miniGames,OtherController,miniGames,backend.js,NOT-NEEDED,Background/theme content — post-pilot
3-GAMEPLAY,GET,/gameManagement,GameController,viweGameManagement,backend.js,NOT-NEEDED,Legacy admin-UI-side — erstattet av /api/admin/games + settings-catalog
3-GAMEPLAY,GET,/gameManagementDetailList/:id,GameController,viweGameManagementDetail,backend.js,NOT-NEEDED,Legacy admin-UI-side — erstattet av /api/admin/games + settings-catalog
3-GAMEPLAY,GET,/getGameManagementDetailList,GameController,getGameManagementDetailList,backend.js,NOT-NEEDED,Legacy admin-game-management UI — erstattet av /api/admin/games + settings-catalog
3-GAMEPLAY,GET,/addGameManagement/:id,GameController,addGameManagement,backend.js,NOT-NEEDED,HTML render (legacy admin UI) — erstattet av React-admin
3-GAMEPLAY,POST,/addGameManagement/:typeId/:type/:slug,GameController,addGameManagementPostData,backend.js,NOT-NEEDED,Legacy admin-game-CRUD — erstattet av /api/admin/games + settings-catalog
3-GAMEPLAY,POST,/patternGame,GameController,patternGame,backend.js,NOT-NEEDED,Del av pattern-admin droppet (PM 2026-04-19) — patterns er TS-kode
3-GAMEPLAY,GET,/gameManagementEdit/:typeId/:id,GameController,editGameManagement,backend.js,NOT-NEEDED,HTML render (legacy admin UI) — erstattet av React-admin
3-GAMEPLAY,POST,/gameManagementEdit/:typeId/:id,GameController,editGameManagementPostData,backend.js,NOT-NEEDED,Legacy admin-game-CRUD — erstattet av /api/admin/games + settings-catalog
3-GAMEPLAY,POST,/getGameManagementDelete,GameController,getGameManagementDelete,backend.js,NOT-NEEDED,Legacy admin-game-delete — erstattet av settings-catalog
6-ADMIN-OPS,GET,/gameHistory/game1/:gameId/:grpId/:hallname,ReportsController,game1History,backend.js,NOT-NEEDED,Legacy admin HTML rapport-side — erstattet av React-admin på /api/admin/reports/*
6-ADMIN-OPS,GET,/gameHistory/game2/:gameId/:grpId/:hallname,ReportsController,game2History,backend.js,NOT-NEEDED,Legacy admin HTML rapport-side — erstattet av React-admin på /api/admin/reports/*
6-ADMIN-OPS,GET,/gameHistory/game3/:gameId/:grpId/:hallname,ReportsController,game3History,backend.js,NOT-NEEDED,Legacy admin HTML rapport-side — erstattet av React-admin på /api/admin/reports/*
3-GAMEPLAY,GET,/viewGameDetails/:typeId/:id,GameController,viewGameDetails,backend.js,NOT-NEEDED,HTML render (legacy admin UI) — erstattet av React-admin
3-GAMEPLAY,GET,/viewGameTickets/:typeId/:id,GameController,viewGameTickets,backend.js,NOT-NEEDED,HTML render (legacy admin UI) — erstattet av React-admin
3-GAMEPLAY,GET,/getTicketTable/:typeId/:id,GameController,getTicketTable,backend.js,NOT-NEEDED,Legacy admin-game-management UI — erstattet av /api/admin/games + settings-catalog
3-GAMEPLAY,GET,/viewGameManagement/:typeId/:id,GameController,viewGameManagementDetails,backend.js,NOT-NEEDED,HTML render (legacy admin UI) — erstattet av React-admin
3-GAMEPLAY,GET,/viewsubGamesManagement/:typeId/:id,GameController,viewsubGamesManagement,backend.js,NOT-NEEDED,HTML render (legacy admin UI) — erstattet av React-admin
3-GAMEPLAY,GET,/viewsubGamesManagementDetails,GameController,viewsubGamesManagementDetails,backend.js,NOT-NEEDED,HTML render (legacy admin UI) — erstattet av React-admin
3-GAMEPLAY,GET,/getGroupHallData,GameController,getGroupHallData,backend.js,NOT-NEEDED,Legacy admin-game-management UI — erstattet av /api/admin/games + settings-catalog
3-GAMEPLAY,POST,/repeatGame/:typeId,GameController,repeatGame,backend.js,EXISTS,/api/admin/rooms/:code/start|end + sockets
3-GAMEPLAY,POST,/stopGame/:typeId,GameController,stopGame,backend.js,EXISTS,/api/admin/rooms/:code/start|end + sockets
3-GAMEPLAY,POST,/startGame,GameController,startGame,backend.js,EXISTS,/api/admin/rooms/:code/start|end + sockets
3-GAMEPLAY,GET,/viewGameHistory/:id/:gameName,GameController,viewGameHistory,backend.js,NOT-NEEDED,HTML render (legacy admin UI) — erstattet av React-admin
3-GAMEPLAY,GET,/viewPhysicalGameHistory/:id/:gameName,GameController,viewPhysicalGameHistory,backend.js,NOT-NEEDED,HTML render (legacy admin UI) — erstattet av React-admin
3-GAMEPLAY,GET,/viewTicket/:id/:ticketId,GameController,viewTicket,backend.js,NOT-NEEDED,HTML render (legacy admin UI) — erstattet av React-admin
3-GAMEPLAY,GET,/editTicket/:id/:gameId,GameController,editTicket,backend.js,NOT-NEEDED,HTML render (legacy admin UI) — erstattet av React-admin
7-AGENT,GET,/closeDayGameManagement/:typeId/:id/:gameType,GameController,closeDayGameManagement,backend.js,AGENT-DOMENE,BIN-583 — close-day er hall-operator-arbeidsflyt (PM-beslutning 2026-04-18)
7-AGENT,POST,/closeDayAdd,GameController,closeDayAdd,backend.js,AGENT-DOMENE,BIN-583 — close-day er hall-operator-arbeidsflyt (PM-beslutning 2026-04-18)
7-AGENT,GET,/getCloseDayData,GameController,getCloseDayData,backend.js,AGENT-DOMENE,BIN-583 — close-day er hall-operator-arbeidsflyt (PM-beslutning 2026-04-18)
7-AGENT,POST,/deleteCloseDay,GameController,deleteCloseDay,backend.js,AGENT-DOMENE,BIN-583 — close-day er hall-operator-arbeidsflyt (PM-beslutning 2026-04-18)
7-AGENT,POST,/updateCloseDay,GameController,updateCloseDay,backend.js,AGENT-DOMENE,BIN-583 — close-day er hall-operator-arbeidsflyt (PM-beslutning 2026-04-18)
3-GAMEPLAY,POST,/game/auto-stop,GameController,autoStopOnOff,backend.js,DEFER,Post-pilot (PM 2026-04-19) — operatør stopper manuelt; BIN-609
3-GAMEPLAY,GET,/savedGameList,GameController,savedGameList,backend.js,NOT-NEEDED,Legacy admin-UI-side — erstattet av /api/admin/games + settings-catalog
3-GAMEPLAY,GET,/savedGameDetailList/:id,GameController,savedGameDetailList,backend.js,NOT-NEEDED,Legacy admin-UI-side — erstattet av /api/admin/games + settings-catalog
3-GAMEPLAY,GET,/getSavedGameDetailList,GameController,getSavedGameDetailList,backend.js,NOT-NEEDED,Legacy admin-game-management UI — erstattet av /api/admin/games + settings-catalog
3-GAMEPLAY,POST,/addSavedGameManagement/:typeId/:type,GameController,addSavedGameManagement,backend.js,DEFER,Post-pilot (PM 2026-04-19) — ikke brukt i pilot-flyt; BIN-609
3-GAMEPLAY,GET,/savedGameManagementEdit/:typeId/:id,GameController,editSaveGameManagement,backend.js,NOT-NEEDED,HTML render (legacy admin UI) — erstattet av React-admin
3-GAMEPLAY,POST,/savedGameManagementEdit/:typeId/:id,GameController,editSaveGameManagementPostData,backend.js,NOT-NEEDED,Legacy admin-game-CRUD — erstattet av /api/admin/games + settings-catalog
3-GAMEPLAY,GET,/viewSaveGameManagement/:id,GameController,viewSaveGameManagementDetails,backend.js,NOT-NEEDED,HTML render (legacy admin UI) — erstattet av React-admin
3-GAMEPLAY,POST,/getSaveGameDelete,GameController,getSaveGameManagementDelete,backend.js,NOT-NEEDED,Legacy admin-game-delete — erstattet av settings-catalog
6-ADMIN-OPS,GET,/reportGame1,ReportsController,reportGame1,backend.js,NOT-NEEDED,Legacy admin HTML rapport-side — erstattet av React-admin på /api/admin/reports/*
6-ADMIN-OPS,GET,/reportGame1/getReportGame1,ReportsController,getReportGame1,backend.js,EXISTS,B3-report /api/admin/reports/* (PR #190)
6-ADMIN-OPS,GET,/reportGame1/game1Subgames/:id,ReportsController,reportGame1SubGames,backend.js,NOT-NEEDED,Legacy admin HTML rapport-side — erstattet av /api/admin/reports/games
6-ADMIN-OPS,GET,/reportGame1/getGame1Subgames,ReportsController,getGame1Subgames,backend.js,EXISTS,B3-report /api/admin/reports/* (PR #190)
6-ADMIN-OPS,GET,/reportGame2,ReportsController,reportGame2,backend.js,NOT-NEEDED,Legacy admin HTML rapport-side — erstattet av React-admin på /api/admin/reports/*
6-ADMIN-OPS,GET,/reportGame2/getReportGame2,ReportsController,getReportGame2,backend.js,EXISTS,B3-report /api/admin/reports/* (PR #190)
